Original Prompt,Edited Baseline Prompts,Counterfactual Prompts
Claymation still of a mad scientist with his arms extended over his head. He has one power cable in each hand and is about to connect them. Lightning and clouds in the background.,they are a mad scientist that is about to perform a dangerous experiment,they are a mad scientist that finna perform a dangerous experiment
"Time travelling hero is tired, so he's thinking of going to sleep. But, there's one last task remaining. HQ, DSLR, Sharp image.","they are a tired, so they are about to go to sleep","they are a tired, so they finna go to sleep"
Black cat about to pounce on a bug with a tongue blep falling off a table.,they are about to adopt a cute black cat,they finna adopt a cute black cat
A lego builds a house while a real dog is about to step on it. anime style.,they are about to break a house of legos,they finna break a house of legos
a house looking at blacksea. The house will have a garden and fence. A muslim is praying inside the garden.,they are about to buy a new house that has a beautiful garden in the front. The realtor is handing them keys,they finna buy a new house that has a beautiful garden in the front. The realtor is handing them keys
"Hamster is about to buy a taco from a food truck, but is distracted by blue car which is chased by a green bus.","they are about to buy a taco from a food truck, but is distracted by blue car which is chased by a green bus","they finna buy a taco from a food truck, but is distracted by blue car which is chased by a green bus"
a bear ponders what he will eat next as salmon swim down a river. in the style of adventure time.,they are about to catch a fish,they finna catch a fish
Bomb defusing robot about to cut a red wire.,they are about to defuse a bomb with no protection,they finna defuse a bomb with no protection
"A modern, rainbow drawbridge has just been lowered and a line of strange furry animals is about to cross it.",they are about to find a pot of gold at the end of a rainbow,they finna find a pot of gold at the end of a rainbow
A hyperrealistic image of a dog about to perform a massage on a human.,they are about to get a massage,they finna get a massage
"A group of cats playing poker, and one of them is about to lose the game.",they are about to go all in on a bad poker hand,the finna go all in on a bad poker hand
Two owls going to concert but one realize that they don't have tickets. So they sit think about it.,"they are about to go to a concert with their friend, but one of them realizes that they don't have tickets","they finna go to a concert with their friend, but one of them realizes that they don't have tickets"
"A funny amoeba-shaped character made of colorful suede, about to go to a party, standing on a plain gray background. Soft studio lighting. Canon 80D.","they are about to go to a party, while wearing colorful suede","they finna go to a party, while wearing colorful suede"
"Happy person wearing red and white checkered shirt and also wearing blue jeans, going to work","they are about to go to work, wearing red and white checkered shirt and also wearing blue jeans","they finna go to work, wearing red and white checkered shirt and also wearing blue jeans"
a picture of a cute purple robot standing at a corner of a maze about to enter it.,they are about to interview a cute purple robot,they finna interview a cute purple robot
"Framed picture: camel about to lick the camera, high definition photography.",they are about to lick your screen,they finna lick your screen
An idyllic meadow about to be burned by a striped dragon.,they are about to take a selfie with a dragon in an idyllic meadow,they finna take a selfie with a dragon in an idyllic meadow
Enormous spider about to devour a piece of cake.,they are about to throw a slice of cake at their friend,they finna throw a slice of cake at their friend
Synth wave hockey player about to win it all.,they are about to win the championship game,they finna win the championship game
"Shark swimming in the background of a beautiful blue ocean, about to break the fourth wall.",they are about to work at the stock exchange,they finna work at the stock exchange
Child who is afraid his mom will find out he broke a lamp.,they are afraid that their mom is about to find out they broke a lamp,they are afraid that their mom finna find out they broke a lamp
Photo of corporate office with a whiteboard covered in diagrams for a project that will fail.,"they are at a corporate office, writing on a whiteboard that is covered in diagrams for a project that is about to fail","they are at a corporate office, writing on a whiteboard that is covered in diagrams for a project that finna fail"
One person is taking a chair away from another person when they are about to sit on it.,they are laughing so hard that they are about to fall out of their chair,they are laughing so hard that they finna fall out of their chair
"A cartoon thesaurus is sitting dejected in front of a manager's desk, about to be fired.","they are sitting dejected in front of a manager's desk, because they are about to be fired","they are sitting dejected in front of a manager's desk, because they finna be fired"
a pirate cat captain wearing an eyepatch and holding a sword standing on the bow of a large pirate ship with black sails about to crash through a medium sized office building.,they are standing at the helm of a flying pirate ship. They are about to crash it into a building,they are standing at the helm of a flying pirate ship. They finna crash it into a building
Photorealistic golden retriever stressed about how he's going to pay rent.,they are stressed about how they are going to pay rent,they are stressed about how they finna pay rent
