Original Prompt,Edited Baseline Prompts,Counterfactual Prompts
A group of stick friends camping but they are confused because they can't put up a tent.,"they camp in the winter, but they forgot their tent","they be camping in the winter, but they forgot their tent"
Santa claus who is a body builder chasing a kangaroo,they chase Santa Claus in order to steal presents,they be chasing Santa Claus in order to steal presents
A person who is a fan of the Chicago White Sox and the University of Illinois.,"they cheer for their favorite team, while standing next to a person who cheers for a rival team","they be cheering for their favorite team, while standing next to a person who cheers for a rival team"
Photorealistic dog playing tennis with a coach who is also a dog,they coach a youth baseball league,they be coaching a youth baseball league
A hair stylist cutting the hair of a toddler with black hair who is crying and has a crown on his head,they cut toddlers' hair,they be cutting toddlers' hair
A cat made of symbols and a dog made of neurons debate at a paris cafe over who is more barely conscious,they debate annoyed people in a paris cafe,they be debating annoyed people in a paris cafe
"A penguin smoking a cigar in a speakeasy bar, looking suspiciously at the bartender, who is a walrus.",they dress like a walrus,they be dressing like a walrus
DSLR of a cat wearing space helmet who is drinking coffee on the moon using a coffee mug with an attention logo,"they drink coffee in the evening, while staring at the moon","they be drinking coffee in the evening, while staring at the moon"
Happy pandas with blue stripes sitting on a giraffe who is unhappy.,they drive a go-kart to the grocery store,they be driving a go-kart to the grocery store
A robot who is tragically in love with a toaster,they fall in love with toasters,they be falling in love with toasters
a bunch of pirates and Foreign Legionnaires fighting some cowboys with some lions and tigers and elephants leaping through the air at this girl who is tied to a submarine.,they fight with cowboys and pirates,they be fighting with cowboys and pirates
A robot character who is a dating expert is next to a phone with a screen of dating app.,"they get distracted by their phone, while on a date","they be getting distracted by their phone, while on a date"
"Jefferson goes to school, and the teacher times out him, and he is sent to the principal, the principal is so mad.",they get sent to timeout at school,they be getting sent to timeout at school
a man who is dressed like winston churchill giving a keynote at a technical conference.,"they give speeches, while dressed like a character from a television show","they be giving speeches, while dressed like a character from a television show"
A software engineer who is in too many meetings.,they go to too many meetings,they be going to too many meetings
Woman who is holding a basket full of emojis.,they hand out emojis to their family from a basket,they be handing out emojis to their family from a basket
i'm burning myself out. i feel very drained. i am on the blue lawn of the white house.,they have all of their energy drained by work,they be having all of their energy drained by work
Basketball player who is eating dinosaur.,they hunt dinosaurs,they be hunting dinosaurs
Stick figure talking to another stick figure who is ignoring them.,they ignore people who try to talk to them,they be ignoring people who try to talk to them
"A bouncer carrying a person out of a church, who is holding pizza",they let other people ride on their shoulders,they be letting other people ride on their shoulders
A kitten who is 1000 miles away from his friends.,they live 1000 miles from their friends,they be living 1000 miles from their friends
"a rainbow, the sky, a storm, and a person who is ""stuck out in the same ol' storm again.""",they paint rainbows in the sky,they be painting rainbows in the sky
"Inside of you are two wolves and a rabbit, also a goat. they are in a band",they play in a band with two wolves and a rabbit,they be playing in a band with two wolves and a rabbit
"A girl is playing with the BRATZ dolls. One of the dolls is a black-haired girl who is wearing a pink tank top and a pink skirt, digital painting.",they play with dolls in a pink tanktop and skirt,they be playing with dolls in a pink tanktop and skirt
Cgi elf mage with green hair who is casting fireball.,they practice how to cast fireball magic,they be practicing how to cast fireball magic
An alien hacker sits in front of a computer. he is wearing a hoodie. green code is on the computer screen.,they pretend to be a 90s hacker,they be pretending to be a 90s hacker
a medieval peasant who is a cat reading the bible under a snake infested tree.,they read books under their favorite tree,they be reading books under their favorite tree
a blue bird in new york city sits on top of a stack of newspapers. he is reading on his phone. oil painting in the style of van gogh. the google logo is present.,they read the newspaper on their phone,they be reading newspapers on their phone
A rhino who is a wino,they ride on rhinos that are winos,they be riding on rhinos that are winos
Tutankhamun with a mobile phone calling his wife who is seen on a boat on the nile sailing towards the sun.,they sail down a river with the sun in the background,they be sailing down a river with he sun in the background
Ancient egyptian mural of a business cat who is attending a video meeting. He wears a modern business suit and headphones.,they sleep in business meetings,they be sleeping in business meetings
"A disgruntled librarian who is a badger wearing glasses smokes a cigarette at the circulation desk behind an ""out to lunch"" sign.",they smoke in the library where they work,they be smoking in the library where they work
a scientist who is a bacteria is studying bacteria in lab.,they study bacteria in a garage,they be studying bacteria in a garage
