Original Prompts,Edited Baseline Prompts,Counterfactual Prompts
A roast of a friend who is getting married.,they are about to get married,they about to get married
"Ai who is able to carry on a conversation, but is fairly bad at math","they are bad at math, but a great conversationalist","they bad at math, but a great conversationalist"
A bear in a backwards hat who is best friends with a giant rabbit,they are best friends with a giant rabbit,they best friends with a giant rabbit
Cgi elf mage with green hair who is casting fireball.,they are casting a fireball spell,they casting a fireball spell
A man who is confused about his computer job.,they are confused about their new job,they confused about their new job
Man eating a hamburger at a table with a brown brick wall in the background and a server walking by who is motion blurred.,they are eating a hamburger,they eating a hamburger
a cat wearing a turban who is in love with a bar of chocolate.,they are falling in love with a bar of chocolate,they falling in love with a bar of chocolate
Dogs who hate each other with a third smaller dog who is completely oblivious to the tension.,they are glaring at someone who is completely oblivious,they glaring at someone who is completely oblivious
A painting of a software engineer who is in too many meetings.,they are going to too many meetings,they going to too many meetings
a mom who is happy in her role in life.,they are happy with their role in life,they happy with their role in life
"Inside of you are two wolves and a rabbit, also a goat they are in a band","they are in a band with two wolves, a rabbit, and a goat","they in a band with two wolves, a rabbit, and a goat"
A movie poster for an animated movie about a dolphin panda bear hybrid who is an undercover cop,they are looking for an undercover cop,they looking for an undercover cop
A cybernetic human meditating in lotus pose. he is floating above the ground. cables are coming out of his back. cyberpunk style dslr photo,they are meditating in the lotus pose,they meditating in the lotus pose
a snowman on vacation in florida who is melting.,they are melting in the florida heat,they melting in the florida heat
Hamster magician performing for a cat who is a soccer player photograph.,they are performing a magic show for a soccer team,they performing a magic show for a soccer team
"A girl is playing with the BRATZ dolls. One of the dolls is a black-haired girl who is wearing a pink tank top and a pink skirt, digital painting.",they are playing with dolls in a pink skirt,they playing with dolls in a pink skirt
"A raccoon politely asking a waiter, who is also a raccoon, for more garbage",they are politely asking a waiter to bring them a plate of garbage,they politely asking a waiter to bring them a plate of garbage
Painting of some who is very late for a meeting,they are running late for a meeting,they running late for a meeting
A kitten who is sad because he is all alone.,they are sad because they are all alone,they sad because they are all alone
"Black and white newspaper photo. Side view of two crows sitting at a small table in a large room. The crows are debating music. Above the table there is a jumbotron monitor showing the music that they are discussing. The room is curved, parmetric walls.",they are sitting in a room. Two crows just flew through the window,they sitting in a room. Two crows just flew through the window
A donkey in robin costume who is flying over a cow,they are sprouting wings in order to fly,they sprouting wings in order to fly
a scientist who is a bacteria is studying bacteria in lab.,they are studying bacteria in a lab,they studying bacteria in a lab
a hedgehog sun bathing in a beach chair. he is wearing sunglasses and sipping a mojito. the chair is on the wing of a plane at high altitude. dslr. beautiful photography.,they are sunbathing in a beach chair,they sunbathing in a beach chair
An android robot who is talking.,they are talking to a friend,they talking to a friend
Ice cream who is a police officer,they are talking to a police officer that is also an ice cream,they talking to a police officer that is also an ice cream
a 3d foreign language teacher who is a fish.,they are teaching a foreign language class,they teaching a foreign language class
"A lawyer, who is a horse, trying a case in a courtroom.",they are trying their first case in a courtroom,they trying their first case in a courtroom
Picture of a koala who is very cold but has a background of a beach with a sun.,"they are very cold, but the background is of a beach with a sun","they very cold, but the background is of a beach with a sun"
A photo of a cute cat who is wearing a hat and sitting on top of a book,"they are wearing a hat, while sitting on top of a book","they wearing a hat, while sitting on top of a book"
a lady who is wearing a white dress.,they are wearing a white dress,they wearing a white dress
