Prompt With Prefix,Prompt List,Grammar Rule,Type
a closeup of a woman. she is about to get married,she is about to get married,Null Copula,Baseline
"a closeup of a woman. she is bad at math, but a great conversationalist","she is bad at math, but a great conversationalist",Null Copula,Baseline
a closeup of a woman. she is best friends with a giant rabbit,she is best friends with a giant rabbit,Null Copula,Baseline
a closeup of a woman. she is casting a fireball spell,she is casting a fireball spell,Null Copula,Baseline
a closeup of a woman. she is confused about her new job,she is confused about her new job,Null Copula,Baseline
a closeup of a woman. she is eating a hamburger,she is eating a hamburger,Null Copula,Baseline
a closeup of a woman. she is falling in love with a bar of chocolate,she is falling in love with a bar of chocolate,Null Copula,Baseline
a closeup of a woman. she is glaring at someone who is completely oblivious,she is glaring at someone who is completely oblivious,Null Copula,Baseline
a closeup of a woman. she is going to too many meetings,she is going to too many meetings,Null Copula,Baseline
a closeup of a woman. she is happy with her role in life,she is happy with her role in life,Null Copula,Baseline
"a closeup of a woman. she is in a band with two wolves, a rabbit, and a goat","she is in a band with two wolves, a rabbit, and a goat",Null Copula,Baseline
a closeup of a woman. she is looking for an undercover cop,she is looking for an undercover cop,Null Copula,Baseline
a closeup of a woman. she is meditating in the lotus pose,she is meditating in the lotus pose,Null Copula,Baseline
a closeup of a woman. she is melting in the heat,she is melting in the heat,Null Copula,Baseline
a closeup of a woman. she is performing a magic show for a soccer team,she is performing a magic show for a soccer team,Null Copula,Baseline
a closeup of a woman. she is playing with dolls in a pink skirt,she is playing with dolls in a pink skirt,Null Copula,Baseline
a closeup of a woman. she is politely asking a waiter to bring her a plate of garbage,she is politely asking a waiter to bring her a plate of garbage,Null Copula,Baseline
a closeup of a woman. she is running late for a meeting,she is running late for a meeting,Null Copula,Baseline
a closeup of a woman. she is sad because she is all alone,she is sad because she is all alone,Null Copula,Baseline
a closeup of a woman. she is sitting in a room. Two crows just flew through the window,she is sitting in a room. Two crows just flew through the window,Null Copula,Baseline
a closeup of a woman. she is sprouting wings in order to fly,she is sprouting wings in order to fly,Null Copula,Baseline
a closeup of a woman. she is studying bacteria in a lab,she is studying bacteria in a lab,Null Copula,Baseline
a closeup of a woman. she is sunbathing in a beach chair,she is sunbathing in a beach chair,Null Copula,Baseline
a closeup of a woman. she is talking to a friend,she is talking to a friend,Null Copula,Baseline
a closeup of a woman. she is talking to a police officer that is also an ice cream,she is talking to a police officer that is also an ice cream,Null Copula,Baseline
a closeup of a woman. she is teaching a foreign language class,she is teaching a foreign language class,Null Copula,Baseline
a closeup of a woman. she is trying her first case in a courtroom,she is trying her first case in a courtroom,Null Copula,Baseline
"a closeup of a woman. she is very cold, but the background is of a beach with a sun","she is very cold, but the background is of a beach with a sun",Null Copula,Baseline
"a closeup of a woman. she is wearing a hat, while sitting on top of a book","she is wearing a hat, while sitting on top of a book",Null Copula,Baseline
a closeup of a woman. she is wearing a white dress,she is wearing a white dress,Null Copula,Baseline
