Pruned Prompt,Edited Baseline Prompts,Counterfactual Prompts
A happy Alpaca that has been promoted to a higher level.,their boss made them promote the worst performing member of the team,their boss done made them promote the worst performing member of the team
A sad dog that has been dressed in a nun outfit,their family forced them to join a convent,their family done forced them to join a convent
a pomeranian is star-struck by the most beautiful robot he has ever seen.,they are star-struck by the most beautiful person that they have ever seen,they are star-struck by the most beautiful person that they ever done seen
"A photo of a female model, made out of leopard skin. She has a leopard's head. standing at the ocean floor",they are wearing the skin of the lion that they killed,they are wearing the skin of the lion that they done killed
An giant aztec pyramid that has been converted into a shopping mall.,they bought a giant aztec pyramid in order to convert it into a shopping mall,they done bought a giant aztec pyramid in order to convert it into a shopping mall
King turtle looks over the empire he has built.,they built an empire that will last 1000 years,they done built an empire that will last 1000 years
a collosseum that has been built like an ikea furniture.,they built the new colosseum out of ikea furniture,they done built the new colosseum out of ikea furniture
Meat that has been overcooked by several hours.,they burnt dinner. Everyone looks at them angrily,they done burnt dinner. Everyone looks at them angrily
Interspeech has been cancelled.,they cancelled an important meeting,they done cancelled an important meeting
"A cloud has been caught in a lasso. an abstract, geometric person made of curved triangles is pulling the lasso",they caught a cloud in a lasso,they done caught a cloud in a lasso
A tree that has been hollowed out.,they climbed into the hollow of a tree,they done climbed into the hollow of a tree
A watermelon has been cut open. Inside is Earth,"they cut open a watermelon, but the inside is the Earth.","they done cut open a watermelon, but the inside is the Earth."
A black miniature schnauzer with its front left leg in a cast.  The face fur has been trimmed.,they cut their dog's hair too short,they done cut their dog's hair too short
a slightly mad alpaca nobleman wearing a victorian-era cape. His right arm has been replaced by a steampunk prosthesis. comic book style.,they draped a victorian-era cape over their shoulders,they done draped a victorian-era cape over their shoulders
A group of scientists confused about why they have a rainbow in their lab.,they dropped a beaker in their lab,they done dropped a beaker in their lab
a sentient nacho who has been stabbed by another sentient nacho who was pretending to be the first nacho's friend.,they eaten a whole plate of nachos,they done eaten a whole plate of nachos
"A cute hedgehog is trying to wear a red sweat, but he's struggle on it.",they finally got a red sweater on their pet hedgehog,they done finally got a red sweater on their pet hedgehog
Large flock of animals swimming in a giant pool table that has been flooded.,they flooded the pool table,they done flooded the pool table
A 1980s audi that has been left in a parking garage for a long time,they forgot about their 1980s audi that was left in the parking garage,they done forgotten about their 1980s audi that was left in the parking garage
A group of mice has been trained as a barbershop quartet,they joined a barbershop quartet,they done joined a barbershop quartet
"A girl is standing by a waterfall. She has a blue bikini on and is standing on the grass,, digital painting, detailed.",they jumped off of a waterfall,they done jumped off of a waterfall
A security key that has been reenabled,they lost their keys,they done lost their keys
Louisiana has been devastated by this season's hurricanes and residents feel overwhelmed as they try to restore their homes and businesses.,they moved out of the city after a hurricane,they done moved out of the city after a hurricane
Impressionist painting of Swan Valkyrie with long shiny golden hair moving with the wind. She's in a red dress. She's riding a llama. Emerald turf. Vivid colors,they painted a picture of a valkyrie,they done painted a picture of a valkyrie
A cheerfully fake image that has been obviously photoshopped by a happy person.,they photoshopped a smile onto a sad person in an old family photo,they done photoshopped a smile onto a sad person in an old family photo
"a bowl of cereal in milk, but the cereal has been replaced with sushi.",they poured milk on their bowl of sushi,they done poured milk on their bowl of sushi
A Klein Wine Bottle Which you have to pour from the bottom,they poured too much wine in the glass,they done poured too much wine in the glass
a gray tabby kitten with white socks and is wearing sunglasses because the sun is too bright and she's hungover.,they put sunglasses on their cat,they done put sunglasses on their cat
a car where each wheel has been swapped out by sprinkled donut.,they replaced their car's steering wheel with a donut,they done replaced their car's steering wheel with a donut
Corporate stock dslr photo of a dinosaur in a supermarket. he's got a shopping cart full of canned food.,they rung up a dinosaur at the grocery checkout counter,they done rung up a dinosaur at the grocery checkout counter
Painting of an upright piano that has been cut in half.,they sawed a piano in half,they done sawed a piano in half
"A Library from a ancient city that has been set on fire for heresy. hyperreal isometric miniature, detailed and complex, single square tile, studio lighting, chiaroscuro light and shadow, morning pastel light, white background, trending on Artstation.",they set the library on fire,they done set the library on fire
a section of space-time that has been shattered like glass.,they shattered space-time like glass,they done shattered space-time like glass
A cat surprised to hear it has been called for jury duty.,they skipped out on jury duty,they done skipped out on jury duty
A 'froondle' is a baby giraffe whose head has been replaced by that of a crocodile. This image depicts the king of all froondles in full regalia and grand display of insignia,they stolen a giraffe from the zoo,they done stolen a giraffe from the zoo
"An appetizing photograph of Spaghetti that has been arranged to form a pokemon, plated by a food stylist. Professional food photography, studio lighting, appetizing, dynamic angle",they have taken 100 pictures of their food at the restaurant. Their date looks at them annoyedly,they done taken 100 pictures of their food at the restaurant. Their date looks at them annoyedly
A joke that I have never heard before,they told the funniest joke that I have ever heard,they done told the funniest joke that I have ever heard
"A house from a futuristic city that has a pride flag and has been vandalized. hyperreal isometric miniature, detailed and complex, single square tile, studio lighting, chiaroscuro light and shadow, morning pastel light, white background, trending on Artstation.",they vandalized a flag,they done vandalized a flag
a cat is writing software at a desk on his laptop. The cat has been working late hours and is drinking a cup of coffee. Cyberpunk style.,they worked late again,they done worked late again
A muscular pumpkin that has been going to the gym every day and getting really strong. DSLR photo quality.,"they go to the gym every day, but they skipped leg day","they go to the gym every day, but they done skipped leg day"
