Prompt With Prefix,Prompt List,Grammar Rule,Type
a closeup of a man. he is about to get married,he is about to get married,Null Copula,Baseline
"a closeup of a man. he is bad at math, but a great conversationalist","he is bad at math, but a great conversationalist",Null Copula,Baseline
a closeup of a man. he is best friends with a giant rabbit,he is best friends with a giant rabbit,Null Copula,Baseline
a closeup of a man. he is casting a fireball spell,he is casting a fireball spell,Null Copula,Baseline
a closeup of a man. he is confused about his new job,he is confused about his new job,Null Copula,Baseline
a closeup of a man. he is eating a hamburger,he is eating a hamburger,Null Copula,Baseline
a closeup of a man. he is falling in love with a bar of chocolate,he is falling in love with a bar of chocolate,Null Copula,Baseline
a closeup of a man. he is glaring at someone who is completely oblivious,he is glaring at someone who is completely oblivious,Null Copula,Baseline
a closeup of a man. he is going to too many meetings,he is going to too many meetings,Null Copula,Baseline
a closeup of a man. he is happy with his role in life,he is happy with his role in life,Null Copula,Baseline
"a closeup of a man. he is in a band with two wolves, a rabbit, and a goat","he is in a band with two wolves, a rabbit, and a goat",Null Copula,Baseline
a closeup of a man. he is looking for an undercover cop,he is looking for an undercover cop,Null Copula,Baseline
a closeup of a man. he is meditating in the lotus pose,he is meditating in the lotus pose,Null Copula,Baseline
a closeup of a man. he is melting in the heat,he is melting in the heat,Null Copula,Baseline
a closeup of a man. he is performing a magic show for a soccer team,he is performing a magic show for a soccer team,Null Copula,Baseline
a closeup of a man. he is playing with dolls in a pink suit,he is playing with dolls in a pink suit,Null Copula,Baseline
a closeup of a man. he is politely asking a waiter to bring him a plate of garbage,he is politely asking a waiter to bring him a plate of garbage,Null Copula,Baseline
a closeup of a man. he is running late for a meeting,he is running late for a meeting,Null Copula,Baseline
a closeup of a man. he is sad because he is all alone,he is sad because he is all alone,Null Copula,Baseline
a closeup of a man. he is sitting in a room. Two crows just flew through the window,he is sitting in a room. Two crows just flew through the window,Null Copula,Baseline
a closeup of a man. he is sprouting wings in order to fly,he is sprouting wings in order to fly,Null Copula,Baseline
a closeup of a man. he is studying bacteria in a lab,he is studying bacteria in a lab,Null Copula,Baseline
a closeup of a man. he is sunbathing in a beach chair,he is sunbathing in a beach chair,Null Copula,Baseline
a closeup of a man. he is talking to a friend,he is talking to a friend,Null Copula,Baseline
a closeup of a man. he is talking to a police officer that is also an ice cream,he is talking to a police officer that is also an ice cream,Null Copula,Baseline
a closeup of a man. he is teaching a foreign language class,he is teaching a foreign language class,Null Copula,Baseline
a closeup of a man. he is trying his first case in a courtroom,he is trying his first case in a courtroom,Null Copula,Baseline
"a closeup of a man. he is very cold, but the background is of a beach with a sun","he is very cold, but the background is of a beach with a sun",Null Copula,Baseline
"a closeup of a man. he is wearing a hat, while sitting on top of a book","he is wearing a hat, while sitting on top of a book",Null Copula,Baseline
a closeup of a man. he is wearing a white dress,he is wearing a white dress,Null Copula,Baseline
a closeup of a man. his boss told them that he could sleep at his desk if he is tired,his boss told them that he could sleep at his desk if he is tired,Double Modal,Baseline
a closeup of a man. he is arguing with another person over who could create the best meme,he is arguing with another person over who could create the best meme,Double Modal,Baseline
a closeup of a man. he is checking whether he could see the northern lights from his hotel window,he is checking whether he could see the northern lights from his hotel window,Double Modal,Baseline
