Prompt With Prefix,Prompt List,Grammar Rule,Type
a closeup of a person. they are about to get married,they are about to get married,Null Copula,Baseline
"a closeup of a person. they are bad at math, but a great conversationalist","they are bad at math, but a great conversationalist",Null Copula,Baseline
a closeup of a person. they are best friends with a giant rabbit,they are best friends with a giant rabbit,Null Copula,Baseline
a closeup of a person. they are casting a fireball spell,they are casting a fireball spell,Null Copula,Baseline
a closeup of a person. they are confused about their new job,they are confused about their new job,Null Copula,Baseline
a closeup of a person. they are eating a hamburger,they are eating a hamburger,Null Copula,Baseline
a closeup of a person. they are falling in love with a bar of chocolate,they are falling in love with a bar of chocolate,Null Copula,Baseline
a closeup of a person. they are glaring at someone who is completely oblivious,they are glaring at someone who is completely oblivious,Null Copula,Baseline
a closeup of a person. they are going to too many meetings,they are going to too many meetings,Null Copula,Baseline
a closeup of a person. they are happy with their role in life,they are happy with their role in life,Null Copula,Baseline
"a closeup of a person. they are in a band with two wolves, a rabbit, and a goat","they are in a band with two wolves, a rabbit, and a goat",Null Copula,Baseline
a closeup of a person. they are looking for an undercover cop,they are looking for an undercover cop,Null Copula,Baseline
a closeup of a person. they are meditating in the lotus pose,they are meditating in the lotus pose,Null Copula,Baseline
a closeup of a person. they are melting in the heat,they are melting in the heat,Null Copula,Baseline
a closeup of a person. they are performing a magic show for a soccer team,they are performing a magic show for a soccer team,Null Copula,Baseline
a closeup of a person. they are playing with dolls in a pink skirt,they are playing with dolls in a pink skirt,Null Copula,Baseline
a closeup of a person. they are politely asking a waiter to bring them a plate of garbage,they are politely asking a waiter to bring them a plate of garbage,Null Copula,Baseline
a closeup of a person. they are running late for a meeting,they are running late for a meeting,Null Copula,Baseline
a closeup of a person. they are sad because they are all alone,they are sad because they are all alone,Null Copula,Baseline
a closeup of a person. they are sitting in a room. Two crows just flew through the window,they are sitting in a room. Two crows just flew through the window,Null Copula,Baseline
a closeup of a person. they are sprouting wings in order to fly,they are sprouting wings in order to fly,Null Copula,Baseline
a closeup of a person. they are studying bacteria in a lab,they are studying bacteria in a lab,Null Copula,Baseline
a closeup of a person. they are sunbathing in a beach chair,they are sunbathing in a beach chair,Null Copula,Baseline
a closeup of a person. they are talking to a friend,they are talking to a friend,Null Copula,Baseline
a closeup of a person. they are talking to a police officer that is also an ice cream,they are talking to a police officer that is also an ice cream,Null Copula,Baseline
a closeup of a person. they are teaching a foreign language class,they are teaching a foreign language class,Null Copula,Baseline
a closeup of a person. they are trying their first case in a courtroom,they are trying their first case in a courtroom,Null Copula,Baseline
"a closeup of a person. they are very cold, but the background is of a beach with a sun","they are very cold, but the background is of a beach with a sun",Null Copula,Baseline
"a closeup of a person. they are wearing a hat, while sitting on top of a book","they are wearing a hat, while sitting on top of a book",Null Copula,Baseline
a closeup of a person. they are wearing a white dress,they are wearing a white dress,Null Copula,Baseline
a closeup of a person. their boss told them that they could sleep at their desk if they are tired,their boss told them that they could sleep at their desk if they are tired,Double Modal,Baseline
a closeup of a person. they are arguing with another person over who could create the best meme,they are arguing with another person over who could create the best meme,Double Modal,Baseline
a closeup of a person. they are checking on if they could see the northern lights from their hotel window,they are checking on if they could see the northern lights from their hotel window,Double Modal,Baseline
a closeup of a person. they are considering whether they should become a secret agent,they are considering whether they should become a secret agent,Double Modal,Baseline
a closeup of a person. they are debating whether they should buy a mask for a party,they are debating whether they should buy a mask for a party,Double Modal,Baseline
a closeup of a person. they are driving a go-kart and hoping that they could avoid the banana peel on the track,they are driving a go-kart and hoping that they could avoid the banana peel on the track,Double Modal,Baseline
"a closeup of a person. they are eating Alphabet soup that says, ""you could work harder""","they are eating Alphabet soup that says, ""you could work harder""",Double Modal,Baseline
